08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0214 Ås (-2019);Annan fisk, uspesifisert;0;0
2000;0215 Frogn (-2019);Fisk i alt;2392;28666
2000;0215 Frogn (-2019);Pelagisk fisk;0;0
2000;0215 Frogn (-2019);Torsk og torskeartar;:;:
2000;0215 Frogn (-2019);Flatfisk og botnfisk;444;2884
2000;0215 Frogn (-2019);Djupvassfisk;0;0
2000;0215 Frogn (-2019);Andre skaldyr og blautdyr;:;:
2000;0215 Frogn (-2019);Annan fisk, uspesifisert;:;:
2000;0216 Nesodden (-2019);Fisk i alt;0;0
2000;0216 Nesodden (-2019);Pelagisk fisk;0;0
2000;0216 Nesodden (-2019);Torsk og torskeartar;0;0
2000;0216 Nesodden (-2019);Flatfisk og botnfisk;0;0
2000;0216 Nesodden (-2019);Djupvassfisk;0;0
2000;0216 Nesodden (-2019);Andre skaldyr og blautdyr;0;0
2000;0216 Nesodden (-2019);Annan fisk, uspesifisert;0;0
2000;0217 Oppegård (1915-2019);Fisk i alt;0;0
2000;0217 Oppegård (1915-2019);Pelagisk fisk;0;0
2000;0217 Oppegård (1915-2019);Torsk og torskeartar;0;0
2000;0217 Oppegård (1915-2019);Flatfisk og botnfisk;0;0
2000;0217 Oppegård (1915-2019);Djupvassfisk;0;0
2000;0217 Oppegård (1915-2019);Andre skaldyr og blautdyr;0;0
2000;0217 Oppegård (1915-2019);Annan fisk, uspesifisert;0;0
2000;0219 Bærum (-2019);Fisk i alt;0;0
2000;0219 Bærum (-2019);Pelagisk fisk;0;0
2000;0219 Bærum (-2019);Torsk og torskeartar;0;0
2000;0219 Bærum (-2019);Flatfisk og botnfisk;0;0
2000;0219 Bærum (-2019);Djupvassfisk;0;0
2000;0219 Bærum (-2019);Andre skaldyr og blautdyr;0;0
2000;0219 Bærum (-2019);Annan fisk, uspesifisert;0;0
2000;0220 Asker (-2019);Fisk i alt;0;0
2000;0220 Asker (-2019);Pelagisk fisk;0;0
2000;0220 Asker (-2019);Torsk og torskeartar;0;0
2000;0220 Asker (-2019);Flatfisk og botnfisk;0;0
2000;0220 Asker (-2019);Djupvassfisk;0;0
2000;0220 Asker (-2019);Andre skaldyr og blautdyr;0;0
2000;0220 Asker (-2019);Annan fisk, uspesifisert;0;0
2000;0221 Aurskog-Høland (1966-2019);Fisk i alt;0;0
2000;0221 Aurskog-Høland (1966-2019);Pelagisk fisk;0;0
2000;0221 Aurskog-Høland (1966-2019);Torsk og torskeartar;0;0
2000;0221 Aurskog-Høland (1966-2019);Flatfisk og botnfisk;0;0
2000;0221 Aurskog-Høland (1966-2019);Djupvassfisk;0;0
2000;0221 Aurskog-Høland (1966-2019);Andre skaldyr og blautdyr;0;0
2000;0221 Aurskog-Høland (1966-2019);Annan fisk, uspesifisert;0;0
2000;0226 Sørum (-2019);Fisk i alt;0;0
2000;0226 Sørum (-2019);Pelagisk fisk;0;0
2000;0226 Sørum (-2019);Torsk og torskeartar;0;0
2000;0226 Sørum (-2019);Flatfisk og botnfisk;0;0
2000;0226 Sørum (-2019);Djupvassfisk;0;0
